State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Texas,San Antonio,0,22,0,39,Employment,2017,2,2017-01-01,2017-03-31
Utah,Salt Lake City,0,11,nan,20,Employment,2017,2,2017-01-01,2017-03-31
Vermont,St. Albans,0,nan,0,nan,Employment,2017,2,2017-01-01,2017-03-31
Virginia,Norfolk,0,27,0,41,Employment,2017,2,2017-01-01,2017-03-31
Washington,Seattle,0,24,nan,82,Employment,2017,2,2017-01-01,2017-03-31
Washington,Spokane,0,nan,0,0,Employment,2017,2,2017-01-01,2017-03-31
Washington,Yakima,0,0,0,nan,Employment,2017,2,2017-01-01,2017-03-31
Wisconsin,Milwaukee,0,nan,nan,10,Employment,2017,2,2017-01-01,2017-03-31
Guam,Hagatna,0,0,0,nan,Employment,2017,2,2017-01-01,2017-03-31
U.S. Virgin Islands,Charlotte Amalie,0,nan,0,0,Employment,2017,2,2017-01-01,2017-03-31
U.S. Virgin Islands,Christiansted,0,0,0,0,Employment,2017,2,2017-01-01,2017-03-31
Puerto Rico,San Juan,0,0,0,0,Employment,2017,2,2017-01-01,2017-03-31
Service Center,California,767,317,20,1850,Employment,2017,2,2017-01-01,2017-03-31
Service Center,Nebraska,15826,12757,728,76891,Employment,2017,2,2017-01-01,2017-03-31
Service Center,Texas,14304,13473,956,55378,Employment,2017,2,2017-01-01,2017-03-31
Alaska,Anchorage,0,nan,0,0,Employment,2017,1,2016-10-01,2016-12-31
Arizona,Phoenix,0,16,0,27,Employment,2017,1,2016-10-01,2016-12-31
Arizona,Tucson,0,0,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Arkansas,Fort Smith,0,nan,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
California,Chula Vista,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
California,Fresno,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
California,Imperial,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
California,Los Angeles,0,63,13,186,Employment,2017,1,2016-10-01,2016-12-31
California,Los Angeles County,0,31,nan,125,Employment,2017,1,2016-10-01,2016-12-31
California,Sacramento,0,14,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
California,San Bernardino,0,14,nan,43,Employment,2017,1,2016-10-01,2016-12-31
California,San Diego,0,26,nan,66,Employment,2017,1,2016-10-01,2016-12-31
California,San Fernando Valley,0,13,nan,59,Employment,2017,1,2016-10-01,2016-12-31
California,San Francisco,0,92,nan,108,Employment,2017,1,2016-10-01,2016-12-31
California,San Jose,0,66,nan,159,Employment,2017,1,2016-10-01,2016-12-31
California,Santa Ana,0,58,11,129,Employment,2017,1,2016-10-01,2016-12-31
Colorado,Denver,0,22,nan,61,Employment,2017,1,2016-10-01,2016-12-31
Connecticut,Hartford,0,nan,nan,88,Employment,2017,1,2016-10-01,2016-12-31
Delaware,Dover,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
District Of Columbia,Washington,0,60,22,343,Employment,2017,1,2016-10-01,2016-12-31
Florida,Hialeah,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Florida,Jacksonville,0,15,nan,62,Employment,2017,1,2016-10-01,2016-12-31
Florida,Kendall,0,10,0,20,Employment,2017,1,2016-10-01,2016-12-31
Florida,Miami,0,11,nan,19,Employment,2017,1,2016-10-01,2016-12-31
Florida,Fort Myers,0,17,nan,54,Employment,2017,1,2016-10-01,2016-12-31
Florida,Oakland Park,0,27,nan,63,Employment,2017,1,2016-10-01,2016-12-31
Florida,Orlando,0,nan,nan,23,Employment,2017,1,2016-10-01,2016-12-31
Florida,Tampa,0,36,nan,30,Employment,2017,1,2016-10-01,2016-12-31
Florida,West Palm Beach,0,nan,0,17,Employment,2017,1,2016-10-01,2016-12-31
Georgia,Atlanta,0,31,nan,277,Employment,2017,1,2016-10-01,2016-12-31
Hawaii,Honolulu,0,nan,0,10,Employment,2017,1,2016-10-01,2016-12-31
Idaho,Boise,0,nan,0,0,Employment,2017,1,2016-10-01,2016-12-31
Illinois,Chicago,0,41,11,198,Employment,2017,1,2016-10-01,2016-12-31
Indiana,Indianapolis,0,10,nan,25,Employment,2017,1,2016-10-01,2016-12-31
Iowa,Des Moines,0,nan,nan,11,Employment,2017,1,2016-10-01,2016-12-31
Kansas,Wichita,0,nan,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
Kentucky,Louisville,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Louisiana,New Orleans,0,nan,nan,21,Employment,2017,1,2016-10-01,2016-12-31
Maine,Portland,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Maryland,Baltimore,0,42,nan,210,Employment,2017,1,2016-10-01,2016-12-31
Massachusetts,Boston,0,36,nan,67,Employment,2017,1,2016-10-01,2016-12-31
Massachusetts,Lawrence,0,11,0,20,Employment,2017,1,2016-10-01,2016-12-31
Michigan,Detroit,0,12,0,37,Employment,2017,1,2016-10-01,2016-12-31
Minnesota,St. Paul,0,nan,0,46,Employment,2017,1,2016-10-01,2016-12-31
Missouri,Kansas City,0,nan,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
Missouri,St. Louis,0,nan,0,30,Employment,2017,1,2016-10-01,2016-12-31
Montana,Helena,0,0,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Nebraska,Omaha,0,nan,0,0,Employment,2017,1,2016-10-01,2016-12-31
Nevada,Las Vegas,0,18,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
Nevada,Reno,0,0,0,nan,Employment,2017,1,2016-10-01,2016-12-31
New Hampshire,Manchester,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
New Jersey,Mount Laurel,0,15,nan,46,Employment,2017,1,2016-10-01,2016-12-31
New Jersey,Newark,0,71,17,269,Employment,2017,1,2016-10-01,2016-12-31
New Mexico,Albuquerque,0,nan,nan,nan,Employment,2017,1,2016-10-01,2016-12-31
New York,Albany,0,nan,0,20,Employment,2017,1,2016-10-01,2016-12-31
New York,Buffalo,0,nan,nan,28,Employment,2017,1,2016-10-01,2016-12-31
New York,Long Island,0,35,nan,146,Employment,2017,1,2016-10-01,2016-12-31
New York,New York,0,110,19,288,Employment,2017,1,2016-10-01,2016-12-31
New York,Queens,0,42,nan,122,Employment,2017,1,2016-10-01,2016-12-31
North Carolina,Charlotte,0,14,0,17,Employment,2017,1,2016-10-01,2016-12-31
North Carolina,Raleigh,0,10,0,13,Employment,2017,1,2016-10-01,2016-12-31
Ohio,Cincinnati,0,nan,nan,13,Employment,2017,1,2016-10-01,2016-12-31
Ohio,Cleveland,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Ohio,Columbus,0,0,nan,12,Employment,2017,1,2016-10-01,2016-12-31
Oklahoma,Oklahoma City,0,15,nan,18,Employment,2017,1,2016-10-01,2016-12-31
Oregon,Portland,0,12,0,29,Employment,2017,1,2016-10-01,2016-12-31
Pennsylvania,Philadelphia,0,16,nan,88,Employment,2017,1,2016-10-01,2016-12-31
Pennsylvania,Pittsburgh,0,nan,0,14,Employment,2017,1,2016-10-01,2016-12-31
Rhode Island,Providence,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
South Carolina,Charleston,0,nan,0,50,Employment,2017,1,2016-10-01,2016-12-31
South Carolina,Greer,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Tennessee,Memphis,0,13,nan,51,Employment,2017,1,2016-10-01,2016-12-31
Texas,Dallas,0,89,17,183,Employment,2017,1,2016-10-01,2016-12-31
Texas,El Paso,0,nan,nan,12,Employment,2017,1,2016-10-01,2016-12-31
Texas,Harlingen,0,nan,0,12,Employment,2017,1,2016-10-01,2016-12-31
Texas,Houston,0,47,11,265,Employment,2017,1,2016-10-01,2016-12-31
Texas,San Antonio,0,34,nan,56,Employment,2017,1,2016-10-01,2016-12-31
Utah,Salt Lake City,0,nan,nan,28,Employment,2017,1,2016-10-01,2016-12-31
Vermont,St. Albans,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Virginia,Norfolk,0,20,nan,58,Employment,2017,1,2016-10-01,2016-12-31
Washington,Seattle,0,30,nan,77,Employment,2017,1,2016-10-01,2016-12-31
Washington,Spokane,0,11,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Washington,Yakima,0,nan,0,0,Employment,2017,1,2016-10-01,2016-12-31
Wisconsin,Milwaukee,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
U.S. Virgin Islands,Charlotte Amalie,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
U.S. Virgin Islands,Christiansted,26268,14378,526,75657,Employment,2017,1,2016-10-01,2016-12-31
Puerto Rico,San Juan,16283,17102,734,55985,Employment,2017,1,2016-10-01,2016-12-31
Service Center,California,0,nan,0,nan,Employment,2017,1,2016-10-01,2016-12-31
Service Center,Nebraska,0,0,0,0,Employment,2017,1,2016-10-01,2016-12-31
Service Center,Texas,0,0,nan,0,Employment,2017,1,2016-10-01,2016-12-31
Alaska,Anchorage,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Arizona,Phoenix,0,nan,nan,18,Employment,2016,4,2016-07-01,2016-09-30
Arizona,Tucson,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Arkansas,Fort Smith,0,0,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
California,Chula Vista,0,0,0,0,Employment,2016,4,2016-07-01,2016-09-30
California,Fresno,0,nan,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
California,Imperial,0,nan,0,0,Employment,2016,4,2016-07-01,2016-09-30
California,Los Angeles,0,40,nan,181,Employment,2016,4,2016-07-01,2016-09-30
California,Los Angeles County,0,34,nan,130,Employment,2016,4,2016-07-01,2016-09-30
California,Sacramento,0,nan,0,21,Employment,2016,4,2016-07-01,2016-09-30
California,San Bernardino,0,29,nan,34,Employment,2016,4,2016-07-01,2016-09-30
California,San Diego,0,21,nan,81,Employment,2016,4,2016-07-01,2016-09-30
California,San Fernando Valley,0,20,nan,63,Employment,2016,4,2016-07-01,2016-09-30
California,San Francisco,0,42,nan,144,Employment,2016,4,2016-07-01,2016-09-30
California,San Jose,0,48,nan,189,Employment,2016,4,2016-07-01,2016-09-30
California,Santa Ana,0,50,17,160,Employment,2016,4,2016-07-01,2016-09-30
Colorado,Denver,0,nan,0,41,Employment,2016,4,2016-07-01,2016-09-30
Connecticut,Hartford,0,nan,nan,88,Employment,2016,4,2016-07-01,2016-09-30
Delaware,Dover,0,0,0,0,Employment,2016,4,2016-07-01,2016-09-30
District Of Columbia,Washington,0,31,nan,235,Employment,2016,4,2016-07-01,2016-09-30
Florida,Hialeah,0,19,0,19,Employment,2016,4,2016-07-01,2016-09-30
Florida,Jacksonville,0,15,0,24,Employment,2016,4,2016-07-01,2016-09-30
Florida,Kendall,0,11,nan,17,Employment,2016,4,2016-07-01,2016-09-30
Florida,Miami,0,nan,nan,21,Employment,2016,4,2016-07-01,2016-09-30
Florida,Fort Myers,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Florida,Oakland Park,0,nan,nan,65,Employment,2016,4,2016-07-01,2016-09-30
Florida,Orlando,0,14,0,21,Employment,2016,4,2016-07-01,2016-09-30
Florida,Tampa,0,nan,nan,29,Employment,2016,4,2016-07-01,2016-09-30
Florida,West Palm Beach,0,15,nan,25,Employment,2016,4,2016-07-01,2016-09-30
Georgia,Atlanta,0,86,nan,158,Employment,2016,4,2016-07-01,2016-09-30
Hawaii,Honolulu,0,nan,0,16,Employment,2016,4,2016-07-01,2016-09-30
Idaho,Boise,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Illinois,Chicago,0,39,11,157,Employment,2016,4,2016-07-01,2016-09-30
Indiana,Indianapolis,0,nan,0,21,Employment,2016,4,2016-07-01,2016-09-30
Iowa,Des Moines,0,nan,0,12,Employment,2016,4,2016-07-01,2016-09-30
Kansas,Wichita,0,0,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
Kentucky,Louisville,0,nan,nan,12,Employment,2016,4,2016-07-01,2016-09-30
Louisiana,New Orleans,0,nan,0,14,Employment,2016,4,2016-07-01,2016-09-30
Maine,Portland,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Maryland,Baltimore,0,70,nan,217,Employment,2016,4,2016-07-01,2016-09-30
Massachusetts,Boston,0,25,nan,111,Employment,2016,4,2016-07-01,2016-09-30
Massachusetts,Lawrence,0,12,nan,16,Employment,2016,4,2016-07-01,2016-09-30
Michigan,Detroit,0,14,nan,31,Employment,2016,4,2016-07-01,2016-09-30
Minnesota,St. Paul,0,0,0,47,Employment,2016,4,2016-07-01,2016-09-30
Missouri,Kansas City,0,25,0,16,Employment,2016,4,2016-07-01,2016-09-30
Missouri,St. Louis,0,nan,0,29,Employment,2016,4,2016-07-01,2016-09-30
Montana,Helena,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Nebraska,Omaha,0,10,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Nevada,Las Vegas,0,nan,nan,18,Employment,2016,4,2016-07-01,2016-09-30
Nevada,Reno,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
New Hampshire,Manchester,0,0,0,12,Employment,2016,4,2016-07-01,2016-09-30
New Jersey,Mount Laurel,0,17,nan,62,Employment,2016,4,2016-07-01,2016-09-30
New Jersey,Newark,0,35,16,255,Employment,2016,4,2016-07-01,2016-09-30
New Mexico,Albuquerque,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
New York,Albany,0,nan,nan,18,Employment,2016,4,2016-07-01,2016-09-30
New York,Buffalo,0,nan,0,37,Employment,2016,4,2016-07-01,2016-09-30
New York,Long Island,0,26,nan,157,Employment,2016,4,2016-07-01,2016-09-30
New York,New York,0,78,12,300,Employment,2016,4,2016-07-01,2016-09-30
New York,Queens,0,34,14,121,Employment,2016,4,2016-07-01,2016-09-30
North Carolina,Charlotte,0,nan,0,17,Employment,2016,4,2016-07-01,2016-09-30
North Carolina,Raleigh,0,15,nan,29,Employment,2016,4,2016-07-01,2016-09-30
Ohio,Cincinnati,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Ohio,Cleveland,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Ohio,Columbus,0,nan,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
Oklahoma,Oklahoma City,0,15,nan,17,Employment,2016,4,2016-07-01,2016-09-30
Oregon,Portland,0,nan,0,25,Employment,2016,4,2016-07-01,2016-09-30
Pennsylvania,Philadelphia,0,15,nan,99,Employment,2016,4,2016-07-01,2016-09-30
Pennsylvania,Pittsburgh,0,nan,0,24,Employment,2016,4,2016-07-01,2016-09-30
Rhode Island,Providence,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
South Carolina,Charleston,0,nan,0,15,Employment,2016,4,2016-07-01,2016-09-30
Tennessee,Memphis,0,15,0,79,Employment,2016,4,2016-07-01,2016-09-30
Texas,Dallas,0,41,nan,177,Employment,2016,4,2016-07-01,2016-09-30
Texas,El Paso,0,11,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Texas,Harlingen,0,nan,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Texas,Houston,0,30,12,192,Employment,2016,4,2016-07-01,2016-09-30
Texas,San Antonio,0,16,nan,53,Employment,2016,4,2016-07-01,2016-09-30
Utah,Salt Lake City,0,13,0,33,Employment,2016,4,2016-07-01,2016-09-30
Vermont,St. Albans,0,nan,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
Virginia,Norfolk,0,14,10,41,Employment,2016,4,2016-07-01,2016-09-30
Washington,Seattle,0,18,nan,70,Employment,2016,4,2016-07-01,2016-09-30
Washington,Spokane,0,nan,0,10,Employment,2016,4,2016-07-01,2016-09-30
Washington,Yakima,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
Wisconsin,Milwaukee,0,nan,nan,17,Employment,2016,4,2016-07-01,2016-09-30
Guam,Hagatna,0,0,nan,nan,Employment,2016,4,2016-07-01,2016-09-30
U.S. Virgin Islands,Charlotte Amalie,0,0,0,nan,Employment,2016,4,2016-07-01,2016-09-30
U.S. Virgin Islands,Christiansted,0,0,0,0,Employment,2016,4,2016-07-01,2016-09-30
Puerto Rico,San Juan,0,0,0,0,Employment,2016,4,2016-07-01,2016-09-30
Service Center,California,673,292,12,1822,Employment,2016,4,2016-07-01,2016-09-30
Service Center,Nebraska,18181,8808,677,69147,Employment,2016,4,2016-07-01,2016-09-30
Service Center,Texas,11890,10461,970,53980,Employment,2016,4,2016-07-01,2016-09-30
Alaska,Anchorage,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Arizona,Phoenix,0,13,nan,20,Employment,2016,3,2016-04-01,2016-06-30
Arizona,Tucson,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Arkansas,Fort Smith,0,nan,0,94,Employment,2016,3,2016-04-01,2016-06-30
California,Chula Vista,0,0,0,0,Employment,2016,3,2016-04-01,2016-06-30
California,Fresno,0,nan,0,10,Employment,2016,3,2016-04-01,2016-06-30
California,Imperial,0,0,0,nan,Employment,2016,3,2016-04-01,2016-06-30
California,Los Angeles,0,77,nan,169,Employment,2016,3,2016-04-01,2016-06-30
California,Los Angeles County,0,19,nan,139,Employment,2016,3,2016-04-01,2016-06-30
California,Sacramento,0,nan,nan,11,Employment,2016,3,2016-04-01,2016-06-30
California,San Bernardino,0,24,nan,53,Employment,2016,3,2016-04-01,2016-06-30
California,San Diego,0,16,0,41,Employment,2016,3,2016-04-01,2016-06-30
California,San Fernando Valley,0,15,nan,60,Employment,2016,3,2016-04-01,2016-06-30
California,San Francisco,0,47,11,139,Employment,2016,3,2016-04-01,2016-06-30
California,San Jose,0,58,10,158,Employment,2016,3,2016-04-01,2016-06-30
California,Santa Ana,0,83,12,161,Employment,2016,3,2016-04-01,2016-06-30
Colorado,Denver,0,nan,nan,27,Employment,2016,3,2016-04-01,2016-06-30
Connecticut,Hartford,0,16,nan,74,Employment,2016,3,2016-04-01,2016-06-30
Delaware,Dover,0,0,0,0,Employment,2016,3,2016-04-01,2016-06-30
District Of Columbia,Washington,0,73,nan,214,Employment,2016,3,2016-04-01,2016-06-30
Florida,Hialeah,0,18,nan,31,Employment,2016,3,2016-04-01,2016-06-30
Florida,Jacksonville,0,nan,nan,24,Employment,2016,3,2016-04-01,2016-06-30
Florida,Kendall,0,nan,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
Florida,Miami,0,nan,nan,11,Employment,2016,3,2016-04-01,2016-06-30
Florida,Oakland Park,0,15,nan,35,Employment,2016,3,2016-04-01,2016-06-30
Florida,Orlando,0,12,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
Florida,Tampa,0,nan,0,23,Employment,2016,3,2016-04-01,2016-06-30
Florida,West Palm Beach,0,nan,0,37,Employment,2016,3,2016-04-01,2016-06-30
Georgia,Atlanta,0,103,nan,195,Employment,2016,3,2016-04-01,2016-06-30
Hawaii,Honolulu,0,0,nan,12,Employment,2016,3,2016-04-01,2016-06-30
Idaho,Boise,0,nan,0,0,Employment,2016,3,2016-04-01,2016-06-30
Illinois,Chicago,0,41,nan,160,Employment,2016,3,2016-04-01,2016-06-30
Indiana,Indianapolis,0,nan,0,18,Employment,2016,3,2016-04-01,2016-06-30
Iowa,Des Moines,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Kansas,Wichita,0,0,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Kentucky,Louisville,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Louisiana,New Orleans,0,nan,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
Maine,Portland,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Maryland,Baltimore,0,37,nan,225,Employment,2016,3,2016-04-01,2016-06-30
Massachusetts,Boston,0,33,nan,60,Employment,2016,3,2016-04-01,2016-06-30
Massachusetts,Lawrence,0,20,0,25,Employment,2016,3,2016-04-01,2016-06-30
Michigan,Detroit,nan,17,nan,26,Employment,2016,3,2016-04-01,2016-06-30
Minnesota,St. Paul,0,11,0,40,Employment,2016,3,2016-04-01,2016-06-30
Missouri,Kansas City,0,nan,0,10,Employment,2016,3,2016-04-01,2016-06-30
Missouri,St. Louis,0,nan,0,19,Employment,2016,3,2016-04-01,2016-06-30
Montana,Helena,0,0,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Nebraska,Omaha,0,nan,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
Nevada,Las Vegas,0,10,nan,13,Employment,2016,3,2016-04-01,2016-06-30
Nevada,Reno,0,nan,0,0,Employment,2016,3,2016-04-01,2016-06-30
New Hampshire,Manchester,0,nan,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
New Jersey,Mount Laurel,0,13,nan,56,Employment,2016,3,2016-04-01,2016-06-30
New Jersey,Newark,0,55,17,209,Employment,2016,3,2016-04-01,2016-06-30
New Mexico,Albuquerque,0,0,0,nan,Employment,2016,3,2016-04-01,2016-06-30
New York,Albany,0,0,0,19,Employment,2016,3,2016-04-01,2016-06-30
New York,Buffalo,0,nan,nan,16,Employment,2016,3,2016-04-01,2016-06-30
New York,Long Island,0,30,nan,142,Employment,2016,3,2016-04-01,2016-06-30
New York,New York,0,72,10,302,Employment,2016,3,2016-04-01,2016-06-30
New York,Queens,0,41,nan,117,Employment,2016,3,2016-04-01,2016-06-30
North Carolina,Charlotte,0,nan,nan,nan,Employment,2016,3,2016-04-01,2016-06-30
North Carolina,Raleigh,0,nan,0,15,Employment,2016,3,2016-04-01,2016-06-30
Ohio,Cincinnati,0,nan,nan,11,Employment,2016,3,2016-04-01,2016-06-30
Ohio,Cleveland,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Ohio,Columbus,0,0,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Oklahoma,Oklahoma City,0,10,nan,19,Employment,2016,3,2016-04-01,2016-06-30
Oregon,Portland,0,14,nan,29,Employment,2016,3,2016-04-01,2016-06-30
Pennsylvania,Philadelphia,0,38,nan,102,Employment,2016,3,2016-04-01,2016-06-30
Pennsylvania,Pittsburgh,0,nan,0,14,Employment,2016,3,2016-04-01,2016-06-30
Rhode Island,Providence,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
South Carolina,Charleston,0,10,0,14,Employment,2016,3,2016-04-01,2016-06-30
Tennessee,Memphis,0,23,nan,57,Employment,2016,3,2016-04-01,2016-06-30
Texas,Dallas,0,54,nan,152,Employment,2016,3,2016-04-01,2016-06-30
Texas,El Paso,0,nan,nan,11,Employment,2016,3,2016-04-01,2016-06-30
Texas,Harlingen,0,nan,0,13,Employment,2016,3,2016-04-01,2016-06-30
Texas,Houston,0,70,nan,109,Employment,2016,3,2016-04-01,2016-06-30
Texas,San Antonio,0,nan,nan,47,Employment,2016,3,2016-04-01,2016-06-30
Utah,Salt Lake City,0,19,nan,22,Employment,2016,3,2016-04-01,2016-06-30
Vermont,St. Albans,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Virginia,Norfolk,0,24,0,50,Employment,2016,3,2016-04-01,2016-06-30
Washington,Seattle,0,16,nan,69,Employment,2016,3,2016-04-01,2016-06-30
Washington,Spokane,0,nan,0,13,Employment,2016,3,2016-04-01,2016-06-30
Washington,Yakima,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
Wisconsin,Milwaukee,0,nan,0,18,Employment,2016,3,2016-04-01,2016-06-30
Guam,Hagatna,0,nan,0,nan,Employment,2016,3,2016-04-01,2016-06-30
U.S. Virgin Islands,Charlotte Amalie,0,0,0,0,Employment,2016,3,2016-04-01,2016-06-30
U.S. Virgin Islands,Christiansted,0,0,0,0,Employment,2016,3,2016-04-01,2016-06-30
Puerto Rico,San Juan,0,nan,0,0,Employment,2016,3,2016-04-01,2016-06-30
Service Center,California,629,417,18,1941,Employment,2016,3,2016-04-01,2016-06-30
Service Center,Nebraska,20606,16399,699,61074,Employment,2016,3,2016-04-01,2016-06-30
Service Center,Texas,13091,17195,932,53721,Employment,2016,3,2016-04-01,2016-06-30
Alaska,Anchorage,0,0,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Arizona,Phoenix,0,nan,nan,21,Employment,2016,2,2016-01-01,2016-03-31
Arizona,Tucson,0,nan,0,10,Employment,2016,2,2016-01-01,2016-03-31
Arkansas,Fort Smith,0,nan,0,nan,Employment,2016,2,2016-01-01,2016-03-31
California,Chula Vista,0,nan,0,0,Employment,2016,2,2016-01-01,2016-03-31
California,Fresno,0,nan,nan,0,Employment,2016,2,2016-01-01,2016-03-31
California,Imperial,0,0,0,nan,Employment,2016,2,2016-01-01,2016-03-31
California,Los Angeles,0,72,21,127,Employment,2016,2,2016-01-01,2016-03-31
California,Los Angeles County,0,28,nan,112,Employment,2016,2,2016-01-01,2016-03-31
California,Sacramento,0,nan,nan,nan,Employment,2016,2,2016-01-01,2016-03-31
California,San Bernardino,0,24,nan,30,Employment,2016,2,2016-01-01,2016-03-31
California,San Diego,0,nan,0,56,Employment,2016,2,2016-01-01,2016-03-31
California,San Fernando Valley,0,23,nan,38,Employment,2016,2,2016-01-01,2016-03-31
California,San Francisco,0,53,0,64,Employment,2016,2,2016-01-01,2016-03-31
California,San Jose,0,77,13,129,Employment,2016,2,2016-01-01,2016-03-31
California,Santa Ana,0,66,nan,205,Employment,2016,2,2016-01-01,2016-03-31
Colorado,Denver,0,20,nan,33,Employment,2016,2,2016-01-01,2016-03-31
Connecticut,Hartford,0,nan,11,35,Employment,2016,2,2016-01-01,2016-03-31
Delaware,Dover,0,0,0,0,Employment,2016,2,2016-01-01,2016-03-31
District Of Columbia,Washington,0,43,nan,143,Employment,2016,2,2016-01-01,2016-03-31
Florida,Hialeah,0,11,nan,28,Employment,2016,2,2016-01-01,2016-03-31
Florida,Jacksonville,0,nan,nan,21,Employment,2016,2,2016-01-01,2016-03-31
Florida,Kendall,0,nan,nan,nan,Employment,2016,2,2016-01-01,2016-03-31
Florida,Miami,0,16,nan,10,Employment,2016,2,2016-01-01,2016-03-31
Florida,Oakland Park,0,14,0,41,Employment,2016,2,2016-01-01,2016-03-31
Florida,Orlando,0,17,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Florida,Tampa,0,nan,nan,13,Employment,2016,2,2016-01-01,2016-03-31
Florida,West Palm Beach,0,10,nan,75,Employment,2016,2,2016-01-01,2016-03-31
Georgia,Atlanta,0,35,nan,235,Employment,2016,2,2016-01-01,2016-03-31
Hawaii,Honolulu,0,nan,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Idaho,Boise,0,0,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Illinois,Chicago,0,53,0,159,Employment,2016,2,2016-01-01,2016-03-31
Indiana,Indianapolis,0,10,nan,19,Employment,2016,2,2016-01-01,2016-03-31
Iowa,Des Moines,0,0,nan,nan,Employment,2016,2,2016-01-01,2016-03-31
Kansas,Wichita,0,nan,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Kentucky,Louisville,0,nan,nan,nan,Employment,2016,2,2016-01-01,2016-03-31
Louisiana,New Orleans,0,nan,nan,nan,Employment,2016,2,2016-01-01,2016-03-31
Maine,Portland,0,0,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Maryland,Baltimore,0,40,nan,168,Employment,2016,2,2016-01-01,2016-03-31
Massachusetts,Boston,0,24,nan,83,Employment,2016,2,2016-01-01,2016-03-31
Massachusetts,Lawrence,0,nan,nan,35,Employment,2016,2,2016-01-01,2016-03-31
Michigan,Detroit,0,52,0,nan,Employment,2016,2,2016-01-01,2016-03-31
Minnesota,St. Paul,0,12,nan,32,Employment,2016,2,2016-01-01,2016-03-31
