State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Oklahoma,Oklahoma City,406,484,57,1134,Family,2019,2,2019-01-01,2019-03-31
Oregon,Portland,572,752,67,1943,Family,2019,2,2019-01-01,2019-03-31
Pennsylvania,Philadelphia,1510,1814,306,7601,Family,2019,2,2019-01-01,2019-03-31
Pennsylvania,Pittsburgh,245,417,42,769,Family,2019,2,2019-01-01,2019-03-31
Rhode Island,Providence,236,563,69,1232,Family,2019,2,2019-01-01,2019-03-31
South Carolina,Charleston,294,426,128,1197,Family,2019,2,2019-01-01,2019-03-31
South Carolina,Greer,155,243,59,537,Family,2019,2,2019-01-01,2019-03-31
Tennessee,Memphis,245,310,56,704,Family,2019,2,2019-01-01,2019-03-31
Tennessee,Nashville,438,673,38,1753,Family,2019,2,2019-01-01,2019-03-31
Texas,Dallas,2675,4889,698,16654,Family,2019,2,2019-01-01,2019-03-31
Texas,El Paso,667,965,108,1921,Family,2019,2,2019-01-01,2019-03-31
Texas,Harlingen,501,940,87,1759,Family,2019,2,2019-01-01,2019-03-31
Texas,Houston,2831,4272,775,19116,Family,2019,2,2019-01-01,2019-03-31
Texas,San Antonio,1390,2530,218,4058,Family,2019,2,2019-01-01,2019-03-31
Utah,Salt Lake City,661,443,61,3561,Family,2019,2,2019-01-01,2019-03-31
Vermont,St. Albans,55,88,16,191,Family,2019,2,2019-01-01,2019-03-31
Virginia,Norfolk,463,540,87,1853,Family,2019,2,2019-01-01,2019-03-31
Washington,Seattle,1057,1533,160,6303,Family,2019,2,2019-01-01,2019-03-31
Washington,Spokane,97,129,16,278,Family,2019,2,2019-01-01,2019-03-31
Washington,Yakima,135,240,16,523,Family,2019,2,2019-01-01,2019-03-31
West Virginia,Charleston,0,0,0,0,Family,2019,2,2019-01-01,2019-03-31
Wisconsin,Milwaukee,374,844,57,1650,Family,2019,2,2019-01-01,2019-03-31
Guam,Agana,176,112,nan,529,Family,2019,2,2019-01-01,2019-03-31
U.S. Virgin Islands,Charlotte Amalie,28,77,15,171,Family,2019,2,2019-01-01,2019-03-31
U.S. Virgin Islands,Christiansted,nan,0,nan,27,Family,2019,2,2019-01-01,2019-03-31
Puerto Rico,San Juan,125,121,31,701,Family,2019,2,2019-01-01,2019-03-31
Service Center,California,0,nan,0,211,Family,2019,2,2019-01-01,2019-03-31
Service Center,National Benefits Center,0,0,0,0,Family,2019,2,2019-01-01,2019-03-31
Service Center,Nebraska,10,nan,0,nan,Family,2019,2,2019-01-01,2019-03-31
Service Center,Potomac,0,0,0,0,Family,2019,2,2019-01-01,2019-03-31
Service Center,Texas,nan,13,nan,58,Family,2019,2,2019-01-01,2019-03-31
Alabama,Montgomery,547,589,136,2088,Family,2019,1,2018-10-01,2018-12-31
Alaska,Anchorage,135,88,10,354,Family,2019,1,2018-10-01,2018-12-31
Arizona,Phoenix,1130,849,119,6566,Family,2019,1,2018-10-01,2018-12-31
Arizona,Tucson,366,411,35,1318,Family,2019,1,2018-10-01,2018-12-31
Arkansas,Fort Smith,137,169,26,619,Family,2019,1,2018-10-01,2018-12-31
California,Chula Vista,0,0,0,0,Family,2019,1,2018-10-01,2018-12-31
California,Fresno,804,948,129,2388,Family,2019,1,2018-10-01,2018-12-31
California,Imperial,151,199,10,377,Family,2019,1,2018-10-01,2018-12-31
California,Los Angeles,1907,1638,479,8846,Family,2019,1,2018-10-01,2018-12-31
California,Los Angeles County,1687,1411,398,8400,Family,2019,1,2018-10-01,2018-12-31
California,Sacramento,927,1222,111,3196,Family,2019,1,2018-10-01,2018-12-31
California,San Bernardino,1588,2398,417,4841,Family,2019,1,2018-10-01,2018-12-31
California,San Diego,1208,1735,111,3297,Family,2019,1,2018-10-01,2018-12-31
California,San Fernando Valley,1201,960,157,7055,Family,2019,1,2018-10-01,2018-12-31
California,San Francisco,1943,856,128,12270,Family,2019,1,2018-10-01,2018-12-31
California,San Jose,1150,962,96,4605,Family,2019,1,2018-10-01,2018-12-31
California,Santa Ana,1331,1011,260,6921,Family,2019,1,2018-10-01,2018-12-31
Colorado,Denver,1159,1335,194,4155,Family,2019,1,2018-10-01,2018-12-31
Connecticut,Hartford,996,462,116,3819,Family,2019,1,2018-10-01,2018-12-31
Delaware,Dover,0,0,0,0,Family,2019,1,2018-10-01,2018-12-31
District Of Columbia,Washington,1504,1706,158,5541,Family,2019,1,2018-10-01,2018-12-31
Florida,Hialeah,775,961,102,2899,Family,2019,1,2018-10-01,2018-12-31
Florida,Jacksonville,556,519,80,1344,Family,2019,1,2018-10-01,2018-12-31
Florida,Kendall,664,780,90,2788,Family,2019,1,2018-10-01,2018-12-31
Florida,Miami,1264,263,119,10016,Family,2019,1,2018-10-01,2018-12-31
Florida,Fort Myers,469,263,67,2473,Family,2019,1,2018-10-01,2018-12-31
Florida,Oakland Park,1577,885,240,10806,Family,2019,1,2018-10-01,2018-12-31
Florida,Orlando,1537,1575,313,6860,Family,2019,1,2018-10-01,2018-12-31
Florida,Tampa,1163,995,144,3217,Family,2019,1,2018-10-01,2018-12-31
Florida,West Palm Beach,1175,1233,272,4486,Family,2019,1,2018-10-01,2018-12-31
Georgia,Atlanta,2121,1773,287,10783,Family,2019,1,2018-10-01,2018-12-31
Hawaii,Honolulu,331,328,59,1192,Family,2019,1,2018-10-01,2018-12-31
Idaho,Boise,211,467,48,684,Family,2019,1,2018-10-01,2018-12-31
Illinois,Chicago,3264,2037,337,15497,Family,2019,1,2018-10-01,2018-12-31
Indiana,Indianapolis,636,520,68,2024,Family,2019,1,2018-10-01,2018-12-31
Iowa,Des Moines,204,249,35,932,Family,2019,1,2018-10-01,2018-12-31
Kansas,Wichita,218,217,13,749,Family,2019,1,2018-10-01,2018-12-31
Kentucky,Louisville,289,215,55,936,Family,2019,1,2018-10-01,2018-12-31
Louisiana,New Orleans,481,697,70,2147,Family,2019,1,2018-10-01,2018-12-31
Maine,Portland,130,81,13,265,Family,2019,1,2018-10-01,2018-12-31
Maryland,Baltimore,1794,1520,144,10363,Family,2019,1,2018-10-01,2018-12-31
Massachusetts,Boston,2096,1309,264,5798,Family,2019,1,2018-10-01,2018-12-31
Massachusetts,Lawrence,678,535,123,2372,Family,2019,1,2018-10-01,2018-12-31
Michigan,Detroit,1045,1010,123,2348,Family,2019,1,2018-10-01,2018-12-31
Minnesota,St. Paul,964,604,127,5186,Family,2019,1,2018-10-01,2018-12-31
Missouri,Kansas City,524,484,56,1201,Family,2019,1,2018-10-01,2018-12-31
